CD38,CD3,CD45,CD4,CD8,HLA,Ki67,NFAT1,Distance
0.891871184,-1.293648432,-1.114689766,-0.259799452,0.67099005,0.153275945,0.317710673,-1.173342537,0.723936738
0.412640216,-0.441606738,-1.879682966,-0.391710177,0.687051721,0.061579265,0.45924302,1.442951788,0.726820896
-0.550713988,-0.173974828,-0.185493621,0.407697851,-0.398281848,-0.60256832,-0.245007291,-0.798031238,-1.027040065
1.131311055,-0.128297887,-0.393483647,0.745051959,-1.532795605,-0.382433491,0.679832394,-0.411924329,-0.056280866
1.279293799,-0.292921637,-0.705376097,-1.20162873,0.734650917,-0.618625811,0.003044499,-1.168275309,0.633376278
0.88076736,-0.490872798,-1.635289211,-0.11554136,0.63798791,-0.003497153,-0.576827204,-1.03006069,0.617481453
1.392954851,1.22253925,-0.701818851,0.707062115,-0.634924931,0.384530657,0.061856949,-0.785842152,0.237026674
1.263580297,-0.260023881,-0.980703425,-0.849386305,-0.129035265,-1.001064228,0.481541847,-1.194733558,0.055169155
1.061704738,-0.28187459,0.44628657,0.810886081,0.157160575,0.136614232,0.922563668,0.598009356,0.495194676
0.426825819,-0.271894263,-0.398042639,-1.202259209,0.895248269,-0.392296616,-0.256957161,-0.039323555,0.66817427
0.680433501,0.113776333,-0.280323994,-1.032346388,0.891428355,-0.547933276,0.034187202,-0.959327755,0.135299232
1.242341838,0.470499575,-0.327463921,-1.385410348,0.881827356,-0.298875137,-0.35740144,-0.347975384,0.648207291
0.667016185,0.031716118,-0.344709264,-0.702662773,0.812585899,-0.154706598,-0.106480005,-0.713046945,0.482829528
1.024967952,-0.928504464,-0.194385646,-0.364977376,0.629637753,0.040321023,0.454300133,-0.514835568,0.636070233
0.727094395,-0.470949284,-1.646531531,-0.172795079,0.692032269,-0.270899048,0.014566959,-1.069523081,0.488328598
0.092937984,-1.301509058,-1.399417586,0.261840009,0.412746073,0.845258399,0.242588002,-0.798889117,0.547271162
0.51129663,-0.791227662,-1.620209341,0.568159333,-1.628362917,-0.359294003,-0.00124999,-1.013136101,0.589933978
0.298429644,0.20152526,-1.611061087,0.555518587,-1.555972138,0.281985617,0.322397638,-1.064261849,0.711345821
0.090997279,-0.520049298,-1.409697472,0.834754024,-2.096096038,1.248147616,-1.845041368,-0.311769246,0.629354505
1.615336268,-1.184856449,-0.032268001,0.165429943,0.460971698,-0.176193447,0.839017452,-0.717168343,-1.934395364
-0.251943961,-0.172013918,-0.308007148,-2.014504064,0.73791034,-0.703485816,-0.190182087,-0.683780077,0.664099658
0.353860036,0.492077019,-0.179773517,-0.194960272,0.948667384,0.573545373,0.561502453,0.34655514,0.664474664
0.733494013,0.807326799,1.040638724,0.012917842,0.882627901,-0.473754435,0.11383164,-0.042434743,0.743607727
0.291245885,1.426349691,0.513086968,0.052806986,1.206601558,-0.731853238,0.322634257,0.982915524,0.704335097
0.451017342,-0.227638695,-0.58969593,0.363643613,-1.620462702,-0.708451123,0.22089511,-0.413040938,0.584217736
-0.520627899,1.230407671,-0.664501356,0.853746548,-1.047060156,-1.193903192,-0.175505494,-0.230556407,0.636747025
-0.014234807,0.359897046,0.100067171,1.052480621,-1.614646976,0.076308305,-0.134767421,-0.232980245,0.612542647
0.824319742,-0.136291543,-0.093210519,0.580103945,-1.449786472,-0.661736717,-0.327853983,-1.225401831,0.578399759
-0.966380766,-0.627343124,-0.835224557,-0.100427341,-0.189069082,-1.06338083,-0.855499255,-1.025758765,0.745671182
-0.715882932,0.980715597,0.522654271,0.19345559,-0.785530678,-0.893035124,-0.519688093,-0.607886106,0.756576051
-0.048112556,-0.493445317,0.655603765,1.272134138,-1.332871547,-1.13394078,-0.711799818,0.184543586,0.49499475
0.165976993,0.222502209,-0.248358869,0.719634765,-1.784607292,-1.240193776,2.093463238,0.42033194,0.729154772
1.403651063,0.04968072,-0.004891625,-0.593975285,1.138131143,-0.318963672,0.75832032,1.412112017,-0.325900145
1.569948882,0.823206492,0.768614905,-0.097125553,1.101136719,-0.388475318,0.880280827,-0.604255835,-0.299040252
1.25359216,1.343555447,0.016548346,-0.069764354,1.028978623,0.538502048,0.45550943,-0.276478345,-0.231907871
0.441621105,-0.1932261,-0.281411884,-0.395695837,0.704395552,0.056877908,-0.145338135,-0.584413069,-0.079627327
1.894896871,1.622524247,1.245495047,0.062656606,1.217355034,0.114719528,0.963501916,0.590105061,0.127717939
0.891725712,0.741367067,0.721134266,-0.639075086,1.175362369,0.197615652,0.47070047,0.761586139,0.254864194
-0.983887545,-0.017076153,0.114290835,1.157511765,-0.518343539,-0.38016119,-0.00826614,1.016833837,-1.934395364
0.252464301,-0.915402419,-2.33059297,-1.075539888,0.444267469,-0.351424514,-0.208056137,0.040222018,0.694823897
0.945872316,1.26457413,1.111914274,-1.143966562,1.020250291,0.005031065,0.051127292,-0.551274546,0.709120078
0.426174977,-1.163170669,-1.743981073,-1.251924922,0.595475305,-1.204959882,-0.279684417,-0.696466218,-0.049567809
0.162324032,-0.386228907,-0.302883361,-0.600171758,0.731282461,-0.151974416,0.017261272,1.069904923,0.617133849
0.980385154,-0.296882863,-0.001803588,0.151194323,0.480327185,-0.21815141,-0.529947015,-0.889473092,0.645799748
2.123928316,-0.145446651,0.031179491,1.155276407,0.718202512,-0.558510869,1.423879858,1.118677396,-0.0270679
0.607386315,-0.946796232,-0.989991597,0.235887136,0.278171013,0.265815428,0.116930923,-1.212517309,0.64407157
1.416735076,-0.552129846,-0.258465347,-0.353274878,0.68812904,0.13173668,0.866303924,0.645523551,-1.934395364
1.331938757,-0.567161332,0.32138423,2.435616693,0.732578994,-0.34209449,-0.196111958,1.424361926,0.627385006
0.55677631,0.586654835,0.296863793,-1.980726372,0.912524536,-0.862737028,0.073257039,0.700294216,0.645421614
0.470103361,-0.183212068,-0.293518611,-0.365718222,0.825006237,-0.636583086,0.057910821,-1.053088897,0.335084923
0.680470067,-0.677026086,-0.21870707,-1.258707682,0.842028472,-0.346620522,0.348140056,0.459442748,0.340651559
0.902213294,-0.543907033,-0.471220354,-0.310656717,0.536660961,0.257460962,0.282073301,1.061413644,-1.716393922
0.046685787,-0.091561095,0.384456684,-0.097868009,0.690731935,0.571791769,-0.643739247,-0.497028186,-1.934395364
0.120484558,-0.127706859,-0.741846103,-0.625963462,0.727334544,-0.176647206,-0.682127134,-1.096424186,0.580219667
0.269672845,-0.039635853,-0.637819813,-1.292933584,0.527887116,-1.062170904,0.156032171,-0.975493949,0.581342959
1.75463574,-0.329158745,-0.099787617,-0.23974526,-1.735048513,-0.51993578,0.658605683,-1.020371514,0.225232795
